"_id","type","properties","geometry"
"65f9adad8419e9b6fab8ffa4","Feature","{""fid"":3029,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":29109.1928137299,""y"":30477.6112182997,""LONG"":103.8432851443,""LAT"":1.2919031812,""COORD"":""(1.2919031812, 103.8432851443)""}","{""type"":""Point"",""coordinates"":[103.84328514428981,1.291903181194308]}"
"65f9adad8419e9b6fab8ffa5","Feature","{""fid"":3277,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":27910.9096137295,""y"":30950.8960183002,""LONG"":103.8325180632,""LAT"":1.296183422,""COORD"":""(1.296183422, 103.8325180632)""}","{""type"":""Point"",""coordinates"":[103.83251806322285,1.296183422024815]}"
"65f9adad8419e9b6fab8ffa6","Feature","{""fid"":3542,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":29261.8964137295,""y"":30547.6204183009,""LONG"":103.8446572533,""LAT"":1.292536314,""COORD"":""(1.292536314, 103.8446572533)""}","{""type"":""Point"",""coordinates"":[103.84465725329592,1.292536314003524]}"
"65f9adad8419e9b6fab8ffa7","Feature","{""fid"":3567,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":29752.5388137298,""y"":31280.3421183005,""LONG"":103.849065924,""LAT"":1.2991627675,""COORD"":""(1.2991627675, 103.849065924)""}","{""type"":""Point"",""coordinates"":[103.84906592396622,1.29916276749483]}"
"65f9adad8419e9b6fab8ffa8","Feature","{""fid"":3794,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":29148.8259137291,""y"":31044.4300183002,""LONG"":103.8436412851,""LAT"":1.2970292896,""COORD"":""(1.2970292896, 103.8436412851)""}","{""type"":""Point"",""coordinates"":[103.84364128509678,1.29702928962979]}"
"65f9adad8419e9b6fab8ffa9","Feature","{""fid"":3848,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":29573.3180137295,""y"":30135.124718301,""LONG"":103.8474554877,""LAT"":1.2888058338,""COORD"":""(1.2888058338, 103.8474554877)""}","{""type"":""Point"",""coordinates"":[103.84745548771352,1.288805833810849]}"
"65f9adad8419e9b6fab8ffaa","Feature","{""fid"":3849,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":29540.3186137294,""y"":30160.992018301,""LONG"":103.8471589758,""LAT"":1.2890397702,""COORD"":""(1.2890397702, 103.8471589758)""}","{""type"":""Point"",""coordinates"":[103.84715897582102,1.289039770218227]}"
"65f9adad8419e9b6fab8ffab","Feature","{""fid"":4302,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":29512.5200137291,""y"":30369.7615182996,""LONG"":103.846909204,""LAT"":1.2909278095,""COORD"":""(1.2909278095, 103.846909204)""}","{""type"":""Point"",""coordinates"":[103.84690920397291,1.290927809543929]}"
"65f9adad8419e9b6fab8ffac","Feature","{""fid"":4303,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":29529.4466137299,""y"":30316.633518301,""LONG"":103.847061294,""LAT"":1.2904473378,""COORD"":""(1.2904473378, 103.847061294)""}","{""type"":""Point"",""coordinates"":[103.84706129397152,1.290447337768235]}"
"65f9adad8419e9b6fab8ffad","Feature","{""fid"":4439,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":29611.1881137295,""y"":31161.5678183008,""LONG"":103.8477958187,""LAT"":1.2980886222,""COORD"":""(1.2980886222, 103.8477958187)""}","{""type"":""Point"",""coordinates"":[103.84779581865706,1.298088622190716]}"
"65f9adad8419e9b6fab8ffae","Feature","{""fid"":4473,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":29451.4385137297,""y"":31262.0275183003,""LONG"":103.8463604024,""LAT"":1.2989971522,""COORD"":""(1.2989971522, 103.8463604024)""}","{""type"":""Point"",""coordinates"":[103.84636040236336,1.298997152196691]}"
