"_id","type","properties","geometry"
"65f1a72d24cfb376c41da36b","Feature","{""GRID_ID"":""F-12"",""ORIGIN_ID"":7,""LAT"":1.287141162,""LONG"":103.836257473,""COORD"":""(103.836257473, 1.287141162)""}","{""type"":""Point"",""coordinates"":[103.83625747300005,1.287141162000069]}"
"65f1a72d24cfb376c41da36d","Feature","{""GRID_ID"":""M-12"",""ORIGIN_ID"":9,""LAT"":1.286457656,""LONG"":103.844544539,""COORD"":""(103.844544539, 1.286457656)""}","{""type"":""Point"",""coordinates"":[103.84454453900008,1.286457656000039]}"
"65f1a72d24cfb376c41da36f","Feature","{""GRID_ID"":""O-12"",""ORIGIN_ID"":11,""LAT"":1.286457656,""LONG"":103.846912272,""COORD"":""(103.846912272, 1.286457656)""}","{""type"":""Point"",""coordinates"":[103.84691227200005,1.286457656000039]}"
"65f1a72d24cfb376c41da379","Feature","{""GRID_ID"":""L-11"",""ORIGIN_ID"":21,""LAT"":1.288508173,""LONG"":103.843360672,""COORD"":""(103.843360672, 1.288508173)""}","{""type"":""Point"",""coordinates"":[103.84336067200007,1.288508173000025]}"
"65f1a72d24cfb376c41da37c","Feature","{""GRID_ID"":""O-11"",""ORIGIN_ID"":24,""LAT"":1.287824668,""LONG"":103.846912272,""COORD"":""(103.846912272, 1.287824668)""}","{""type"":""Point"",""coordinates"":[103.84691227200005,1.287824668000042]}"
"65f1a72d24cfb376c41da37d","Feature","{""GRID_ID"":""P-11"",""ORIGIN_ID"":25,""LAT"":1.288508173,""LONG"":103.848096138,""COORD"":""(103.848096138, 1.288508173)""}","{""type"":""Point"",""coordinates"":[103.84809613800007,1.288508173000025]}"
"65f1a72d24cfb376c41da37e","Feature","{""GRID_ID"":""Q-11"",""ORIGIN_ID"":26,""LAT"":1.287824668,""LONG"":103.849280005,""COORD"":""(103.849280005, 1.287824668)""}","{""type"":""Point"",""coordinates"":[103.84928000500008,1.287824668000042]}"
"65f1a72d24cfb376c41da381","Feature","{""GRID_ID"":""F-10"",""ORIGIN_ID"":29,""LAT"":1.289875184,""LONG"":103.836257473,""COORD"":""(103.836257473, 1.289875184)""}","{""type"":""Point"",""coordinates"":[103.83625747300005,1.289875184000039]}"
"65f1a72d24cfb376c41da382","Feature","{""GRID_ID"":""G-10"",""ORIGIN_ID"":30,""LAT"":1.289191679,""LONG"":103.837441339,""COORD"":""(103.837441339, 1.289191679)""}","{""type"":""Point"",""coordinates"":[103.83744133900007,1.289191679000055]}"
"65f1a72d24cfb376c41da389","Feature","{""GRID_ID"":""N-10"",""ORIGIN_ID"":37,""LAT"":1.289875184,""LONG"":103.845728405,""COORD"":""(103.845728405, 1.289875184)""}","{""type"":""Point"",""coordinates"":[103.84572840500005,1.289875184000039]}"
